price,image_url,url,product_name,current_color_from_name,available_colors_cleaned,source_file,brand,sku,wishlist_pid,category,available_sizes,flag,tags,promotion,labels,availability,discount,colors,fit,color,variant,available_colors,stock_status,sales,product_type,category_group
32.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0480U_06519_b1_s1_a1_320x.jpg?v=1755859382,https://www.aloyoga.com/products/a0480u-unisex-half-crew-throwback-sock-green-olive-white,Unisex Half-Crew Throwback Sock,Green Olive/White,"Green Olive/White, Green Olive/White, White/Black, White/Titanium, Bone/White, Black/White, Athletic Heather Grey/White, White/Navy",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
58.0,https://cdn.shopify.com/s/files/1/2185/2813/products/W7112R_0101_b1_a1_320x.jpg?v=1672871437,https://www.aloyoga.com/products/w7112r-off-duty-cap-black-black,Off-Duty Cap,Black/Black,"Black/Black, Black/Black, Ballet Pink, Bright White/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
68.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0543U_0101_b1_s1_a1_320x.jpg?v=1747806926,https://www.aloyoga.com/products/a0543u-performance-off-duty-cap-black-black,Performance Off-Duty Cap,Black/Black,"Black/Black, Black/Black, Lunar Grey, Espresso/Espresso, Navy/Navy, White/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
32.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0480U_0001_b1_a1_320x.jpg?v=1669748933,https://www.aloyoga.com/products/a0480u-unisex-half-crew-throwback-sock-white-black,Unisex Half-Crew Throwback Sock,White/Black,"White/Black, White/Black, White/Titanium, Bone/White, Black/White, Athletic Heather Grey/White, White/Navy, Gravel/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
32.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0518U_01_b1_a1_320x.jpg?v=1745838296,https://www.aloyoga.com/products/a0518u-performance-conquer-headband-black,Performance Conquer Headband,Black,"Black, Black, Steel Grey, White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
34.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0286W_05201_b1_s1_a1_3036804a-e348-4f82-a26c-a3fd8aa67121_320x.jpg?v=1698259388,https://www.aloyoga.com/products/a0286w-90s-claw-clip-white-pearl,90's Claw Clip,White Pearl,"White Pearl, White Pearl, Green Olive Marble, Candy Red, Ivy Garden, Seashell Blue, Brown Tortoise, Black, Pink Wild Rose Pearl",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
34.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0286W_0937_b1_s1_a2_bb49cd7d-3b30-4fd9-8e50-970734733b3e_320x.jpg?v=1756510218,https://www.aloyoga.com/products/a0286w-90s-claw-clip-green-olive-marble,90's Claw Clip,Green Olive Marble,"Green Olive Marble, Green Olive Marble, Candy Red, Ivy Garden, Seashell Blue, White Pearl, Brown Tortoise, Black, Pink Wild Rose Pearl",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
34.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0054U_06464_b1_s1_a3_320x.jpg?v=1755903875,https://www.aloyoga.com/products/a0054u-airlift-headband-green-olive,Airlift Headband,Green Olive,"Green Olive, Green Olive, Lunar Grey, Neon Bubblegum, Candy Red, Navy, Seashell Blue, Gravel, Black",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
68.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0499U_06464_b1_s1_a2_011d8ad6-e69a-4d4f-b737-bd042b8ceb95_320x.jpg?v=1756250371,https://www.aloyoga.com/products/a0499u-notable-beanie-green-olive,Notable Beanie,Green Olive,"Green Olive, Green Olive, Sweet Pink, Black/Black, Athletic Heather Grey, Espresso, Ivory",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
30.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0290U_06710_b1_s1_a1_320x.jpg?v=1755859134,https://www.aloyoga.com/products/a0290u-fresh-mini-scrunchie-3-pack-green-olive-lunar-grey-white,Fresh Mini Scrunchie (3-Pack),Green Olive/Lunar Grey/White,"Green Olive/Lunar Grey/White, Green Olive/Lunar Grey/White, Burgundy/Pink Wild Rose/Ivory, White/Seashell Blue/Spearmint, Seashell Blue/Navy/White, Candy Red/Black/White, Mushroom/Pink Quartz/Smoky Quartz, Bold Red/Sweet Pink/White, Black/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
48.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0434U_0101_b1_s1_a1_320x.jpg?v=1755859321,https://www.aloyoga.com/products/a0434u-performance-fleece-glove-black-black,Performance Fleece Gloves,Black/Black,"Black/Black, Black/Black, Ivory, Steel Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
48.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0424U_0101_b1_s1_a3_5d80a478-9c8c-4603-9721-f1dd9a64f9d9_320x.jpg?v=1756250425,https://www.aloyoga.com/products/a0424u-performance-fleece-beanie-black-black,Performance Fleece Beanie,Black/Black,"Black/Black, Black/Black",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
32.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0838U_06464_b1_s1_a2_320x.jpg?v=1755860385,https://www.aloyoga.com/products/a0838u-unisex-half-crew-scrunch-sock-green-olive,Unisex Half-Crew Scrunch Sock,Green Olive,"Green Olive, Green Olive, White, Athletic Heather Grey, Black, Pink Wild Rose",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Accessories
