price,image_url,url,product_name,current_color_from_name,available_colors_cleaned,source_file,brand,sku,wishlist_pid,category,available_sizes,flag,tags,promotion,labels,availability,discount,colors,fit,color,variant,available_colors,stock_status,sales,product_type,category_group
225.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0891U_01_b2_s1_a1_m51_80870d6f-5ce1-4229-a0fd-518d15f331ce_320x.jpg?v=1753741023,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-black,ALO Sunset Sneaker,Black,"Black, Black, Sandstone",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
225.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0891U_0777_b2_s1_a1_m18_320x.jpg?v=1753723181,https://www.aloyoga.com/products/a0891u-alo-sunset-sneaker-sandstone,ALO Sunset Sneaker,Sandstone,"Sandstone, Sandstone, Black",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_00000_b1_s1_a1_47d6356e-8d05-4775-800e-0383fe135308_320x.jpg?v=1739918726,https://www.aloyoga.com/products/a0590u-alo-runner-white-white,ALO Runner,White/White,"White/White, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Crystal Clear Blue, Grey/Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_01010_b1_s1_a1_2e75864b-d696-40a3-bcb7-8d5b713206e5_320x.jpg?v=1739918924,https://www.aloyoga.com/products/a0590u-alo-runner-black-black,ALO Runner,Black/Black,"Black/Black, Black/Black, White/White, Green Olive, Seashell Blue, Navy, Crystal Clear Blue, Grey/Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_06464_b1_s1_a3_320x.jpg?v=1755888737,https://www.aloyoga.com/products/a0590u-alo-runner-green-olive,ALO Runner,Green Olive,"Green Olive, ALMOST GONE
4, ALMOST GONE
4, Green Olive, White/White, Black/Black, Seashell Blue, Navy, Crystal Clear Blue, Grey/Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_05242_b1_s1_a4_320x.jpg?v=1755888426,https://www.aloyoga.com/products/a0685u-alo-recovery-mode-black-gum,ALO Recovery Mode Sneaker,Black/Gum,"Black/Gum, Black/Gum, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Natural White, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_052730_b1_a1_4055f9cf-a0ed-4e7f-a6d3-7852df5e7491_320x.jpg?v=1700611258,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-natural-white-gum,ALO Recovery Mode Sneaker,Natural White/Gum,"Natural White/Gum, Natural White/Gum, Clay, Black/White, Pink Wild Rose, Black/Gum, Natural White, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_06647_b1_s1_a1_320x.jpg?v=1739917720,https://www.aloyoga.com/products/a0590u-alo-runner-grey-grey,ALO Runner,Grey/Grey,"Grey/Grey, Grey/Grey, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Crystal Clear Blue",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_04064_b1_s1_a1_320x.jpg?v=1734542055,https://www.aloyoga.com/products/a0590u-alo-runner-espresso,ALO Runner,Espresso,"Espresso, Espresso, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Crystal Clear Blue",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_05438_b1_s1_a1_320x.jpg?v=1739917793,https://www.aloyoga.com/products/a0590u-alo-runner-gravel,ALO Runner,Gravel,"Gravel, Gravel, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Crystal Clear Blue",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_05284_b1_a1_320x.jpg?v=1751411223,https://www.aloyoga.com/products/a0685u-alo-recovery-mode-natural-white,ALO Recovery Mode Sneaker,Natural White,"Natural White, Natural White, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_03842_b1_s1_a4_2ec85707-b504-4170-8635-f17677cb78ee_320x.jpg?v=1753372503,https://www.aloyoga.com/products/a0590u-alo-runner-navy,ALO Runner,Navy,"Navy, ALMOST GONE
4, ALMOST GONE
4, Navy, White/White, Black/Black, Green Olive, Seashell Blue, Crystal Clear Blue, Grey/Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_01000_b1_a1_aa802d4c-9a5e-4861-ba69-6d224a51c4d5_320x.jpg?v=1697154799,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-black-white,ALO Recovery Mode Sneaker,Black/White,"Black/White, Black/White, Clay, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_02953_b1_s1_a1_320x.jpg?v=1734048430,https://www.aloyoga.com/products/a0685u-alo-recovery-mode-clay,ALO Recovery Mode Sneaker,Clay,"Clay, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
175.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0826U_03299_b1_s1_a1_320x.jpg?v=1730832860,https://www.aloyoga.com/products/a0826u-sherpa-recovery-slipper-ivory,Sherpa Recovery Slipper,Ivory,"Ivory, Ivory, Saddle/Ivory",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_02577_b1_a1_320x.jpg?v=1699550315,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-gravel-white,ALO Recovery Mode Sneaker,Gravel/White,"Gravel/White, Gravel/White, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
175.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0827U_06456_b1_s1_a1_320x.jpg?v=1730833131,https://www.aloyoga.com/products/a0827u-recovery-slipper-saddle-ivory,Recovery Slipper,Saddle/Ivory,"Saddle/Ivory, Saddle/Ivory, Ivory",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_057940_b1_a1_320x.jpg?v=1703032948,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-grey-white,ALO Recovery Mode Sneaker,Grey/White,"Grey/White, Grey/White, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_057920_b1_a1_320x.jpg?v=1706119561,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-pink-white,ALO Recovery Mode Sneaker,Pink/White,"Pink/White, Pink/White, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
150.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0669U_01_b1_s1_a1_8120ae29-987f-41e7-b69a-2820bf701198_320x.jpg?v=1721070213,https://www.aloyoga.com/products/a0669u-unisex-it-slide-black,Unisex It Slide,Black,"Black, Black, Espresso, White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_06463_b1_s1_a4_128007c2-5fd1-454f-ab2b-ba5ac089d791_320x.jpg?v=1753892636,https://www.aloyoga.com/products/a0685u-alo-recovery-mode-pink-wild-rose,ALO Recovery Mode Sneaker,Pink Wild Rose,"Pink Wild Rose, Pink Wild Rose, Clay, Black/White, Natural White/Gum, Black/Gum, Natural White, Pink/White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0590U_06030_b1_s1_a1_320x.jpg?v=1739917853,https://www.aloyoga.com/products/a0590u-alo-runner-crystal-clear-blue,ALO Runner,Crystal Clear Blue,"Crystal Clear Blue, ALMOST GONE
4, ALMOST GONE
4, Crystal Clear Blue, White/White, Black/Black, Green Olive, Seashell Blue, Navy, Grey/Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
118.0,https://cdn.shopify.com/s/files/1/2185/2813/files/W3735R_04046_b1_s1_a1_1_m18_320x.jpg?v=1734048269,https://www.aloyoga.com/products/w3735r-warm-airlift-hooded-runner-espresso,Airlift Winter Warm Hooded Runner,Espresso,"Espresso, Espresso, Black, Steel Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
185.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0685U_057930_b1_a1_7b2d6981-2a0e-4694-b5e5-4e4029551faf_320x.jpg?v=1713284781,https://www.aloyoga.com/products/a0685u-alo-x-01-classic-navy-white,ALO Recovery Mode Sneaker,Navy/White,"Navy/White, Navy/White, Clay, Black/White, Natural White/Gum, Pink Wild Rose, Black/Gum, Natural White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
150.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0669U_00_b1_s1_a1_687799f9-eec3-40a2-b69c-ffe7b36ff70e_320x.jpg?v=1721070337,https://www.aloyoga.com/products/a0669u-unisex-it-slide-white,Unisex It Slide,White,"White, White, Espresso, Black",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
150.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0669U_04064_b1_s1_a1_9a40335c-2eee-438e-b07f-c30ff2757e8e_320x.jpg?v=1721070362,https://www.aloyoga.com/products/a0669u-unisex-it-slide-espresso,Unisex It Slide,Espresso,"Espresso, Espresso, White, Black",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Footwear
84.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw3f287a5f/image/001761_IPG3173T_BEIGE-BROWN_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sweaters/pullovers/cowboy-boot-grandpa-sweater/001761_IPG3173T-6014.html,Cowboy Boot Grandpa Sweater,,,altardstate_products_cleaned.csv,ALTAR'D STATE,001761_IPG3173T-6014,001761_IPG3173T-6014,Clothing,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,back_in_stock",,,,,,,,,,,,,Footwear
84.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw083aec7c/image/001950_BSW2830_IVORY_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sweaters/pullovers/jessie-boot-bow-sweater/001950_BSW2830-0034.html,Jessie Boot & Bow Sweater,,,altardstate_products_cleaned.csv,ALTAR'D STATE,001950_BSW2830-0034,001950_BSW2830-0034,Clothing,"XXS, XS, S, M, L, XL, XXL",New,new,,,,,,,,,,,,,Footwear
159.95,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/suede_boot_1757-000126-0017_1_campaign.jpg?ref=7D67D217E8",https://www.na-kd.com/en/products/suede-boot-brown-1757-000126-0017,Suede Boot,,,nakd_products_cleaned.csv,NA-KD,1-1757-000126-0017,,,,,,,,,,,,,Brown,Brown,,,,Footwear
59.95,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/strap_detail_ballerinas_1100-010955-021215349_flatlay-copy_flatlay_1.jpg?ref=C5CB4F7E71",https://www.na-kd.com/en/products/strap-detail-ballerinas-burgundy-1100-010955-0212,Strap Detail Ballerinas,,,nakd_products_cleaned.csv,NA-KD,1-1100-010955-0212,,,,,,,,,,,,,Burgundy,"Burgundy, Black, Brown",,,,Footwear
85.95,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/victoriaxbel_1100-011722-9326_social.jpg?ref=02E5029505",https://www.na-kd.com/en/products/suede-ballerina-dk-brown-1100-011722-9326,Suede Ballerina,,,nakd_products_cleaned.csv,NA-KD,1-1100-011722-9326,,,,,,,,,,,,,DK Brown,"Brown, Beige",,,,Footwear
149.95,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/squared_toe_leather_ankle_boots_1100-011810-0212_0066.jpg?ref=DED8122FCC",https://www.na-kd.com/en/products/squared-toe-leather-ankle-boots-burgundy-1100-011810-0212,Squared Toe Leather Ankle Boots,,,nakd_products_cleaned.csv,NA-KD,1-1100-011810-0212,,,,,,,,,,,,,Burgundy,"Burgundy, Black",,,,Footwear
