price,image_url,url,product_name,current_color_from_name,available_colors_cleaned,source_file,brand,sku,wishlist_pid,category,available_sizes,flag,tags,promotion,labels,availability,discount,colors,fit,color,variant,available_colors,stock_status,sales,product_type,category_group
18.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0082W_01_b1_s1_a1_1_m89_320x.jpg?v=1657751287,https://www.aloyoga.com/products/a0082w-airbrush-invisible-thong-black,Airbrush Invisible Thong,Black,"Black, Black, Champagne, Sand",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
18.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0096W_01_b1_s1_a1_1_m89_320x.jpg?v=1657752711,https://www.aloyoga.com/products/a0096w-airbrush-invisible-string-thong-black,Airbrush Invisible String Thong,Black,"Black, Black, Sand, Champagne, Smoky Quartz",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
18.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0082W_02914_b1_s1_a1_1_m18_9119f933-5751-43e8-bafd-cbef6dd0e416_320x.jpg?v=1657752085,https://www.aloyoga.com/products/a0082w-airbrush-invisible-thong-sand,Airbrush Invisible Thong,Sand,"Sand, Sand, Black, Champagne",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
28.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0285W_01_b1_s1_a1_1_m18_320x.jpg?v=1655676191,https://www.aloyoga.com/products/a0285w-airmesh-venus-thong-black,Airmesh Venus Thong,Black,"Black, Black, Champagne, White, Sweet Pink",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
38.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0769W_03299_b1_s1_a1_m241_320x.jpg?v=1749474569,https://www.aloyoga.com/products/a0769w-sheer-glow-boyshort-ivory,Sheer Glow Boyshort,Ivory,"Ivory, Ivory, Black, Seashell Blue, Pink Wild Rose",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
18.0,https://cdn.shopify.com/s/files/1/2185/2813/products/A0082W_01507_b1_s1_a1_1_m18_320x.jpg?v=1657752233,https://www.aloyoga.com/products/a0082w-airbrush-invisible-thong-champagne,Airbrush Invisible Thong,Champagne,"Champagne, Champagne, Black, Sand",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
38.0,https://cdn.shopify.com/s/files/1/2185/2813/files/A0769W_01_b1_s1_a3_m241_320x.jpg?v=1749781541,https://www.aloyoga.com/products/a0769w-sheer-glow-boyshort-black,Sheer Glow Boyshort,Black,"Black, Black, Ivory, Seashell Blue, Pink Wild Rose",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Innerwear
42.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwb581c8f6/image/004403_S1196_BLACK_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sleep-lounge/everyday-seamless-solid-bodysuit/004403_S1196-0016.html,Everyday Seamless Solid Bodysuit,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004403_S1196-0016,004403_S1196-0016,Clothing,"S/M, M/L",New,new,,,,,,,,,,,,,Innerwear
42.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw735b25bb/image/004403_S1196_WHITE_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sleep-lounge/everyday-seamless-solid-bodysuit/004403_S1196-0003.html,Everyday Seamless Solid Bodysuit,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004403_S1196-0003,004403_S1196-0003,Clothing,"S/M, M/L",New,new,,,,,,,,,,,,,Innerwear
42.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw81d0b18c/image/004403_S1196_DUSTY-MINT_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sleep-lounge/everyday-seamless-solid-bodysuit/004403_S1196-0335.html,Everyday Seamless Solid Bodysuit,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004403_S1196-0335,004403_S1196-0335,Clothing,"S/M, M/L",New,new,,,,,,,,,,,,,Innerwear
