price,image_url,url,product_name,current_color_from_name,available_colors_cleaned,source_file,brand,sku,wishlist_pid,category,available_sizes,flag,tags,promotion,labels,availability,discount,colors,fit,color,variant,available_colors,stock_status,sales,product_type,category_group
298.0,https://cdn.shopify.com/s/files/1/2185/2813/products/W3524R_02288_b1_s1_a1_1_m18_320x.jpg?v=1664409814,https://www.aloyoga.com/products/w3524r-cashmere-jet-set-crew-dove-grey-heather,Cashmere Jet Set Crew,Dove Grey Heather,"Dove Grey Heather, Dove Grey Heather",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Other
78.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw1155d9be/image/001913_S90114-01JAS_BLUE-IVORY_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sweaters/cardigans/allyson-striped-zip-up/001913_S90114-01JAS-1238.html,Allyson Striped Zip Up,,,altardstate_products_cleaned.csv,ALTAR'D STATE,001913_S90114-01JAS-1238,001913_S90114-01JAS-1238,Clothing,"XXS, XS, S, M, L, XL, XXL",New,new,,,,,,,,,,,,,Other
78.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw1737c092/image/001950_BSW3046_IVORY-RUST_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sweaters/pullovers/rena-aztec-quarter-zip/001950_BSW3046-4514.html,Rena Aztec Quarter Zip,,,altardstate_products_cleaned.csv,ALTAR'D STATE,001950_BSW3046-4514,001950_BSW3046-4514,Clothing,"XXS, XS, S, M, L, XL, XXL",New,new,,,,,,,,,,,,,Other
62.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw5ce51207/image/004350_B243072-F25_WHIP-CREAM_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/tops/mollie-pointelle-shrug/004350_B243072-F25-6466.html,Mollie Pointelle Shrug,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004350_B243072-F25-6466,004350_B243072-F25-6466,Clothing,"XXS, XS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
72.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw31b819cc/image/004350_K5041205_PINK-IVORY_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/sweaters/pullovers/waverly-stripe-crew-neck/004350_K5041205-6153.html,Waverly Stripe Crew Neck,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004350_K5041205-6153,004350_K5041205-6153,Clothing,"XXS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
64.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw9fa97c71/image/004386_PCT338-AS-25_CHOCOLATE_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/tops/layla-ribbon-trim-shrug/004386_PCT338-AS-25-0015.html,Layla Ribbon Trim Shrug,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004386_PCT338-AS-25-0015,004386_PCT338-AS-25-0015,Clothing,"XXS, XS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
74.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwe29f4112/image/000196_IT3608-1-ALT_HEATHER-GREY_09.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/tops/graphics/new-york-varsity-quarter-zip/000196_IT3608-1-ALT-4328.html,New York Varsity Quarter Zip,,,altardstate_products_cleaned.csv,ALTAR'D STATE,000196_IT3608-1-ALT-4328,000196_IT3608-1-ALT-4328,Clothing,"XXS, XS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
62.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwcb72d1b2/image/004350_B242584-25_MUSHROOM_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/tops/maria-pointelle-lace-trim-shrug/004350_B242584-25-1830.html,Maria Pointelle Lace Trim Shrug,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004350_B242584-25-1830,004350_B242584-25-1830,Clothing,"XXS, XS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
62.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw54bf07ce/image/004350_B242584-25_CREAM_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/tops/maria-pointelle-lace-trim-shrug/004350_B242584-25-0044.html,Maria Pointelle Lace Trim Shrug,,,altardstate_products_cleaned.csv,ALTAR'D STATE,004350_B242584-25-0044,004350_B242584-25-0044,Clothing,"XXS, XS, S, M, L, XL, XXL",,,,,,,,,,,,,,,Other
98.0,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw29a0c753/image/004229_OY0095_LT-PINK_00.JPG?sw=300&sh=450&q=98,https://www.altardstate.com/as/clothing/jackets-vests/wildflower-sherpa-zip-up/004229_OY0095-0026.html,Wildflower Sherpa Zip Up,,,altardstate_products_cleaned.csv,AS REVIVAL,004229_OY0095-0026,004229_OY0095-0026,Clothing,"XXS, XS, S, M, L, XL, XXL, 3XL",New,"new,best_sellers",,,,,,,,,,,,,Other
