price,image_url,url,product_name,current_color_from_name,available_colors_cleaned,source_file,brand,sku,wishlist_pid,category,available_sizes,flag,tags,promotion,labels,availability,discount,colors,fit,color,variant,available_colors,stock_status,sales,product_type,category_group
118.0,https://cdn.shopify.com/s/files/1/2185/2813/files/W3875R_03299_b2_s1_a1_1_m190_320x.jpg?v=1756827401,https://www.aloyoga.com/products/w3875r-cropped-serenity-coverup-ivory,Cropped Serenity Coverup,Ivory,"Ivory, Ivory, Black, Athletic Heather Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Swimwear
118.0,https://cdn.shopify.com/s/files/1/2185/2813/files/W3875R_01_b2_s1_a1_1_m229_2c558582-1df3-4b17-a7cb-344205596204_320x.jpg?v=1738006972,https://www.aloyoga.com/products/w3875r-cropped-serenity-coverup-black,Cropped Serenity Coverup,Black,"Black, Black, Ivory, Athletic Heather Grey",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Swimwear
128.0,https://cdn.shopify.com/s/files/1/2185/2813/files/W4721R_06461_b1_s1_a2_m177_320x.jpg?v=1754597251,https://www.aloyoga.com/products/w4721r-cropped-breezy-full-zip-cover-up-lunar-grey,Cropped Breezy Full-Zip Cover Up,Lunar Grey,"Lunar Grey, Lunar Grey, Candy Red, Seashell Blue, Black, White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Swimwear
128.0,https://cdn.shopify.com/s/files/1/2185/2813/files/W4721R_01_b2_s1_a1_m218_320x.jpg?v=1751917537,https://www.aloyoga.com/products/w4721r-cropped-breezy-full-zip-cover-up-black,Cropped Breezy Full-Zip Cover Up,Black,"Black, Black, Candy Red, Seashell Blue, Lunar Grey, White",alo_yoga_products_cleaned.csv,Alo Yoga,,,,,,,,,,,,,,,,,,,Swimwear
39.99,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250818/026b9c6dc98c796d837864f0e1cd8098.jpg?speedsize=mxw_540,https://www.cupshe.com/products/lovely-blossom-floral-bikini-set-120000205673,Lovely Blossom Floral Bikini Set,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,Underwire,In Stock,,,,,,,,,,Swimwear
39.99,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250818/37bf8751f995c670190b0c8a9b98726e.jpg?speedsize=mxw_540,https://www.cupshe.com/products/ruby-wave-checkered-bikini-set-120000205674,Ruby Wave Checkered Bikini Set,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,Underwire,In Stock,,,,,,,,,,Swimwear
43.99,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250819/eab6db543e407855b60ba2f67dee9748.jpg?speedsize=mxw_540,https://www.cupshe.com/products/ruby-wave-checkered-one-piece-swimsuit-CAA12E5H011JG,Ruby Wave Checkered One-Piece Swimsuit,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,,In Stock,,,,,,,,,,Swimwear
31.99,"https://cdn-review.cupshe.com/cmc-admin/2025_08_15/17_29_140/d3318b8f-d6ca-41ba-a4fe-4576898d7875/120000205675/1.gif?x-oss-process=image/quality,q_70/format,webp",https://www.cupshe.com/products/c-est-la-vie-black-bikini-set-120000205675,C’est la Vie Black Bikini Set,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,Underwire,In Stock,,,,,,,,,,Swimwear
31.99,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250814/2968f8a0e4c30d48ae37dfebd10268d0.jpg?speedsize=mxw_540,https://www.cupshe.com/products/hit-replay-black-one-piece-swimsuit-CAA12E5H009AA,Hit Replay Black One-Piece Swimsuit,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,,In Stock,,,,,,,,,,Swimwear
36.99,"https://cdn-review.cupshe.com/cmc-admin/2025_08_19/16_16_290/a481d53e-79d0-4bd5-b7ab-fdaf93504af4/CAA12G5H001AA/1.gif?x-oss-process=image/quality,q_70/format,webp",https://www.cupshe.com/products/in-plain-sight-black-one-piece-swimsuit-CAA12G5H001AA,In Plain Sight Black One-Piece Swimsuit,,,cupshe_products_cleaned.csv,Cupshe,,,,,,,,,In Stock,,,,,,,,,,Swimwear
